task,category,required_count,task_local_count,exact_match,required_skills,task_local_skill_dirs
latex-formula-extraction,office-white-collar,0,2,False,,marker;pdf
lean4-proof,mathematics-or-formal-reasoning,0,2,False,,lean4-memories;lean4-theorem-proving
llm-prefix-cache-replay,software-engineering,1,2,False,prefix-cache-replay,cache-policy-comparison;prefix-cache-replay
manufacturing-codebook-normalization,industrial-physical-systems,1,1,True,manufacturing-failure-reason-codebook-normalization,manufacturing-failure-reason-codebook-normalization
manufacturing-equipment-maintenance,industrial-physical-systems,1,2,False,reflow-machine-maintenance-guidance,reflow-machine-maintenance-guidance;reflow-profile-compliance-toolkit
manufacturing-fjsp-optimization,industrial-physical-systems,1,1,True,fjsp-baseline-repair-with-downtime-and-policy,fjsp-baseline-repair-with-downtime-and-policy
mario-coin-counting,media-content-production,0,3,False,,ffmpeg-keyframe-extraction;image-editing;object-counter
mars-clouds-clustering,natural-science,0,3,False,,custom-distance-metrics;parallel-processing;pareto-optimization
multilingual-video-dubbing,media-content-production,0,6,False,,ffmpeg-audio-processing;ffmpeg-format-conversion;ffmpeg-media-info;ffmpeg-video-editing;ffmpeg-video-filters;text-to-speech
offer-letter-generator,office-white-collar,0,1,False,,docx
organize-messy-files,office-white-collar,0,5,False,,docx;file-organizer;pdf;planning-with-files;pptx
paper-anonymizer,office-white-collar,0,2,False,,academic-pdf-redaction;pdf
parallel-tfidf-search,software-engineering,0,3,False,,memory-optimization;python-parallelization;workload-balancing
paratransit-routing,mathematics-or-formal-reasoning,2,2,True,ortools-pickup-delivery-routing;ortools-routing-modeling,ortools-pickup-delivery-routing;ortools-routing-modeling
pddl-airport-planning,mathematics-or-formal-reasoning,0,1,False,,pddl-skills
pddl-tpp-planning,mathematics-or-formal-reasoning,0,1,False,,pddl-skills
pdf-excel-diff,office-white-collar,0,2,False,,pdf;xlsx
powerlifting-coef-calc,office-white-collar,0,3,False,,powerlifting;senior-data-scientist;xlsx
pptx-reference-formatting,office-white-collar,0,1,False,,pptx
protein-expression-analysis,natural-science,0,1,False,,xlsx
python-scala-translation,software-engineering,0,6,False,,python-scala-collections;python-scala-functional;python-scala-idioms;python-scala-libraries;python-scala-oop;python-scala-syntax-mapping
quantum-numerical-simulation,natural-science,0,1,False,,qutip
r2r-mpc-control,industrial-physical-systems,0,4,False,,finite-horizon-lqr;integral-action-design;mpc-horizon-tuning;state-space-linearization
radar-vital-signs,natural-science,0,3,False,,radar-signal-processing;radar-vital-signs;vital-sign-extraction
react-performance-debugging,software-engineering,2,2,False,playwright-cdp;react-best-practices,browser-testing;react-best-practices
reserves-at-risk-calc,finance-economics,0,1,False,,xlsx
sales-pivot-analysis,office-white-collar,2,2,True,pdf;xlsx,pdf;xlsx
sec-financial-report,finance-economics,0,2,False,,13f-analyzer;fuzzy-name-search
seismic-phase-picking,natural-science,0,4,False,,obspy-data-api;obspy-datacenter-client;seisbench-model-api;seismic-picker-selection
setup-fuzzing-py,cybersecurity,0,3,False,,discover-important-function;fuzzing-python;setup-env
shock-analysis-demand,finance-economics,0,1,False,,xlsx
shock-analysis-supply,finance-economics,0,1,False,,xlsx
simpo-code-reproduction,software-engineering,0,2,False,,nlp-research-repo-package-installment;pdf
software-dependency-audit,cybersecurity,0,3,False,,cvss-score-extraction;trivy-offline-vulnerability-scanning;vulnerability-csv-reporting
spring-boot-jakarta-migration,software-engineering,0,5,False,,hibernate-upgrade;jakarta-namespace;restclient-migration;spring-boot-migration;spring-security-6
suricata-custom-exfil,cybersecurity,0,3,False,,pcap-triage-tshark;suricata-offline-evejson;suricata-rules-basics
syzkaller-ppdev-syzlang,cybersecurity,0,3,False,,syz-extract-constants;syzkaller-build-loop;syzlang-ioctl-basics
threejs-structure-parser,media-content-production,0,2,False,,obj-exporter;threejs
threejs-to-obj,media-content-production,0,2,False,,obj-exporter;threejs
tictoc-unnecessary-abort-detection,software-engineering,3,3,True,transaction-concurrency-control-foundations;transaction-protocol-reasoning;transaction-trace-analysis,transaction-concurrency-control-foundations;transaction-protocol-reasoning;transaction-trace-analysis
travel-planning,mathematics-or-formal-reasoning,5,6,False,search-accommodation;search-attraction;search-cities;search-driving-distance;search-restaurant,search-accommodations;search-attractions;search-cities;search-driving-distance;search-flights;search-restaurants
video-silence-remover,media-content-production,0,7,False,,audio-extractor;energy-calculator;pause-detector;report-generator;segment-combiner;silence-detector;video-processor
weighted-gdp-calc,finance-economics,0,1,False,,xlsx
xlsx-recover-data,finance-economics,0,2,False,,data-reconciliation;xlsx
